■和訳
'cause	[短] = because
vibes	雰囲気，直感，第六感，感触，= vibraharp ヴィヴラハープ，マリンバ
vibration	振動，動揺，霊気，= vibes 雰囲気，直感，第六感
vibrato	振動音
vicinity	近隣
victory	勝利
video	ビデオ
view	見る
village	村
virtual	真の
virtually	事実上
visit	訪問する
voice	声
volume	(本の)巻
vote	投票
voyage	航海
wait	待つ
wake	目覚める
walk	歩く
wall	壁
wanna	[短] = want to
wane	衰微，減退，欠ける，減少する，衰える
want	欲する
war	戦争
ware	商品
warehouse	倉庫
warfare	戦争
warm	暖かい
warned	警告
warning	注意
warranty	保証
waste	浪費，無駄
watch	注視する，時計
we	我々
weak	弱い
weakness	弱み，短所
weapon	武器
wear	着る
weather	天気
weather forecast	天気予報
weekday	週末
weight	重量
welcome	歓迎する
well	上手に
well-groomed	身なりの良い
west	西
what	何
when	いつ
where	どこに
whether	～かどうか，～であろうとなかろうと
which	どれ
while	～の間
white	白
who	誰；WHO (World Health Organization) 世界保健機構
whole	欠ける所のない，完全な
whole picture	全体像，大局
whom	誰を，誰に
whose	誰の
why	なぜ
wide	広い
wild	野生の
wilderness	荒野，荒地
will	～でしょう
win	勝つ
wind	風
window	窓
wing	翼
winner	受賞者
winning	勝った，優勝した
wire	盗聴器
wise	賢明な，分別がある
wish	～したいと思う，願い，願望，希望
with	～と共に，～と一緒に
withdraw	引き出す
within	～の内に
without	～なしに
wizardry	素晴らしい技能
wolf	狼
wolves	狼達
wonder	驚異，驚嘆
wonderful	驚くべき，素晴らしい
wood	森
word	語，単語
work	働く
workboat	作業船，工船
workshop	作業場，研究会，講演会
worktable	作業台
world	世界
worldwide	世界的な，世界的に，全世界的に
worth	価値
would've	[短] = would have
write	書く
writer	筆者，作家，著作家
written	書かれた
wrong	悪い，正しくない，誤った，不正，悪，曲がったこと
ya	[俗] = you
yard	庭
year	年，歳
yellow	黄色
yet	まだ
you	君は，誰でも：わざわざ訳す必要がない時もある
you're	you are の略
you've	you heve の略
your	君の
yours	君のもの
youth	若さ，青春，青年，若者
